,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_home,reb_home,pts_home,wl_home,ast_home,tov_home,pf_home,plus_minus_home,game_year,off_rebounds_home
9155,20800033,0,4,0,3,0,0,0,0,0,0,1,New Orleans Pelicans,36.0,104.0,W,25.0,14.0,19.0,12,2008,7
9156,20800034,5,7,3,2,0,0,0,0,0,0,0,Chicago Bulls,51.0,96.0,W,19.0,14.0,15.0,10,2008,17
9157,20800035,2,2,2,3,0,0,0,0,0,0,0,Houston Rockets,49.0,89.0,W,18.0,17.0,10.0,12,2008,9
9158,20800036,3,2,1,1,0,0,0,0,0,1,0,Milwaukee Bucks,39.0,87.0,L,24.0,15.0,27.0,-4,2008,8
9159,20800037,0,0,0,1,0,0,0,0,0,0,2,Denver Nuggets,38.0,97.0,L,30.0,19.0,26.0,-7,2008,1
9160,20800039,0,2,0,2,0,0,0,0,0,0,0,Phoenix Suns,36.0,107.0,W,17.0,12.0,12.0,11,2008,4
9161,20800040,1,7,0,1,0,0,0,0,0,1,0,New York Knicks,41.0,86.0,L,19.0,16.0,26.0,-8,2008,10
9162,20800041,7,3,1,4,0,0,0,0,0,0,1,Oklahoma City Thunder,50.0,88.0,W,15.0,13.0,15.0,3,2008,15
9163,20800042,1,2,2,0,0,0,0,0,0,0,0,Charlotte Hornets,31.0,83.0,L,13.0,14.0,17.0,-18,2008,5
9164,20800043,6,4,0,3,0,0,0,0,0,0,0,Orlando Magic,49.0,96.0,W,16.0,19.0,19.0,3,2008,13
9165,20800044,2,1,0,2,0,0,0,0,0,0,2,Philadelphia 76ers,34.0,125.0,W,24.0,14.0,19.0,34,2008,5
9166,20800045,2,3,0,3,0,0,0,0,0,0,1,Memphis Grizzlies,47.0,90.0,W,22.0,18.0,15.0,11,2008,8
9167,20800046,1,3,0,3,0,0,0,0,0,0,1,Dallas Mavericks,35.0,81.0,L,16.0,14.0,20.0,-19,2008,7
9168,20800047,3,2,0,1,0,0,0,0,0,0,1,Los Angeles Clippers,38.0,73.0,L,16.0,19.0,24.0,-16,2008,6
9169,20800048,3,6,0,2,0,0,0,0,0,0,0,Brooklyn Nets,35.0,86.0,L,16.0,15.0,18.0,-28,2008,11
9170,20800049,3,4,2,2,0,0,0,0,0,0,4,Houston Rockets,41.0,99.0,L,19.0,11.0,24.0,-4,2008,11
9171,20800050,2,5,0,0,0,0,0,0,0,0,0,San Antonio Spurs,34.0,81.0,L,12.0,7.0,12.0,-17,2008,7
9172,20800051,2,4,0,2,0,0,0,0,0,0,0,Indiana Pacers,36.0,103.0,L,16.0,16.0,23.0,-10,2008,8
9173,20800052,1,3,1,0,0,0,0,0,0,1,0,Toronto Raptors,38.0,93.0,L,18.0,11.0,15.0,-7,2008,6
9174,20800053,4,4,0,3,0,0,0,0,0,0,0,Miami Heat,41.0,106.0,W,21.0,14.0,19.0,23,2008,11
9175,20800055,1,5,1,1,0,0,1,0,0,0,1,Cleveland Cavaliers,46.0,107.0,W,17.0,13.0,20.0,14,2008,9
9176,20800056,2,5,1,0,0,0,0,0,0,0,2,Milwaukee Bucks,45.0,112.0,W,37.0,19.0,34.0,8,2008,8
9177,20800057,5,4,0,1,0,0,1,0,0,0,0,Minnesota Timberwolves,46.0,125.0,L,35.0,10.0,26.0,-4,2008,11
9178,20800058,1,5,0,2,0,0,0,0,0,0,0,New Orleans Pelicans,35.0,79.0,L,24.0,15.0,18.0,-8,2008,8
9179,20800059,4,6,1,0,0,0,0,0,0,0,0,Oklahoma City Thunder,46.0,83.0,L,15.0,15.0,23.0,-13,2008,11
9180,20800060,3,2,1,3,0,0,0,0,0,0,0,Utah Jazz,38.0,103.0,W,24.0,16.0,20.0,7,2008,9
9181,20800061,1,3,1,2,0,0,0,0,0,0,0,Sacramento Kings,36.0,100.0,W,24.0,19.0,22.0,5,2008,7
9182,20800062,3,7,1,3,0,1,0,0,0,0,0,Golden State Warriors,46.0,111.0,W,21.0,10.0,22.0,10,2008,14
9183,20800063,9,3,0,1,0,0,0,0,0,0,0,Los Angeles Lakers,54.0,106.0,W,14.0,12.0,17.0,18,2008,13
9184,20800064,4,4,1,0,0,0,0,0,0,0,1,Orlando Magic,46.0,98.0,W,21.0,10.0,15.0,10,2008,9
9185,20800066,3,1,2,1,0,0,1,0,0,0,1,Charlotte Hornets,37.0,92.0,W,15.0,15.0,22.0,3,2008,8
9186,20800067,7,2,0,0,0,0,0,0,0,0,0,Washington Wizards,50.0,108.0,L,27.0,12.0,16.0,-6,2008,9
9187,20800068,1,2,0,2,0,0,0,0,0,0,0,Atlanta Hawks,41.0,110.0,W,34.0,15.0,23.0,18,2008,5
9188,20800069,3,2,1,1,0,0,0,0,0,0,0,Boston Celtics,43.0,101.0,W,28.0,18.0,26.0,12,2008,7
9189,20800071,6,5,0,3,0,0,0,0,0,0,0,Brooklyn Nets,50.0,103.0,W,17.0,8.0,32.0,7,2008,14
9190,20800073,3,0,0,4,0,0,1,0,0,0,0,Chicago Bulls,47.0,100.0,W,22.0,12.0,26.0,17,2008,8
9191,20800074,1,3,5,2,0,0,0,0,0,0,0,Utah Jazz,45.0,104.0,W,31.0,19.0,20.0,7,2008,11
9192,20800075,3,2,1,1,0,0,0,0,0,0,1,Sacramento Kings,40.0,121.0,W,19.0,10.0,28.0,12,2008,7
9193,20800076,3,6,1,2,0,0,1,0,0,0,0,Denver Nuggets,45.0,108.0,W,19.0,11.0,17.0,3,2008,13
