,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_away,reb_away,pts_away,wl_away,ast_away,tov_away,pf_away,plus_minus_away,game_year,off_rebounds_away
26620,29800366,2,8,2,1,0,0,0,0,0,0,0,Charlotte Hornets,49.0,78.0,L,17.0,18.0,28.0,-8,1999,13
26621,29800367,12,3,1,0,0,0,0,0,0,0,0,Boston Celtics,35.0,86.0,L,19.0,20.0,20.0,-27,1999,16
26622,29800368,4,3,0,3,0,0,0,0,0,0,0,Toronto Raptors,43.0,113.0,W,26.0,19.0,25.0,23,1999,10
26623,29800369,2,7,2,1,0,1,0,0,0,0,1,Denver Nuggets,42.0,82.0,L,17.0,13.0,15.0,-30,1999,12
26624,29800370,2,3,0,0,0,0,0,0,0,0,1,Miami Heat,33.0,81.0,L,17.0,17.0,24.0,-3,1999,5
26625,29800371,4,6,2,1,0,0,1,0,0,0,1,Golden State Warriors,45.0,72.0,L,10.0,15.0,25.0,-7,1999,14
26626,29800372,3,2,0,0,0,1,1,0,0,1,0,Minnesota Timberwolves,50.0,87.0,W,21.0,6.0,17.0,19,1999,7
26627,29800373,1,0,0,0,0,0,0,0,0,0,0,Detroit Pistons,40.0,84.0,W,20.0,19.0,22.0,13,1999,1
26628,29800374,3,4,1,0,0,0,0,0,0,0,0,Chicago Bulls,30.0,81.0,L,19.0,13.0,24.0,-29,1999,8
26629,29800377,1,2,0,1,0,0,0,0,0,0,0,Houston Rockets,43.0,88.0,W,15.0,13.0,15.0,10,1999,4
26630,29800378,5,4,1,2,0,0,0,0,0,0,0,Golden State Warriors,41.0,92.0,W,15.0,14.0,21.0,12,1999,12
26631,29800379,3,5,0,1,0,0,0,0,0,0,2,Phoenix Suns,44.0,106.0,W,22.0,11.0,21.0,5,1999,9
26632,29800380,2,2,4,0,0,0,0,0,0,0,0,New York Knicks,43.0,91.0,L,17.0,16.0,27.0,-1,1999,8
26633,29800381,4,3,1,0,0,0,1,0,0,0,0,Washington Wizards,32.0,96.0,W,23.0,13.0,22.0,4,1999,9
26634,29800382,1,4,3,1,0,0,0,0,0,0,1,Philadelphia 76ers,39.0,95.0,W,22.0,19.0,28.0,5,1999,9
26635,29800383,3,3,0,2,0,0,0,0,0,0,1,Cleveland Cavaliers,40.0,86.0,L,20.0,18.0,18.0,-10,1999,8
26636,29800384,7,4,0,0,0,0,0,0,0,0,0,Toronto Raptors,35.0,104.0,L,19.0,10.0,18.0,-9,1999,11
26637,29800385,2,1,0,0,0,0,0,0,0,0,1,San Antonio Spurs,40.0,86.0,W,18.0,14.0,19.0,21,1999,3
26638,29800386,3,1,0,0,0,0,0,0,0,0,0,Phoenix Suns,31.0,84.0,L,24.0,12.0,19.0,-13,1999,4
